Question,Label,Tagged
Best easy haupia recipe?,ALL,Best <name>easy</name> <name>haupia</name> recipe ?
ingredients for Potatoes Anna dish?,ING,ingredients for <name>Potatoes</name> <name>Anna</name> dish ?
Utensils to fry Branzino Mediterranean?,EQUIP,Utensils to <method>fry</method> <name>Branzino</name> <name>Mediterranean</name> ?
"I have some bell peppers, what are good recipes to cook with it?",NAME,"I have some <ing>bell</ing> <ing>peppers</ing> , what are good recipes to cook with it ?"
What are the basic ingredients in preparing sushi bake?,ING,What are the basic ingredients in preparing <name>sushi</name> <name>bake</name> ?
What’s the best way to cook ritz cuban minis?,DIR,What ’ s the best way to cook <name>ritz</name> <name>cuban</name> <name>minis</name> ?
Do you know good chocolate dessert recipes to prepare?,NAME,Do you know good <type>chocolate</type> <type>dessert</type> recipes to prepare ?
"what are the different ways to cook white rice, flour and olive oil?",NAME,"what are the different ways to cook <ing>white</ing> <ing>rice</ing> , <ing>flour</ing> and <ing>olive</ing> <ing>oil</ing> ?"
Description about Caribbean Coconut Chicken,OBJ,Description about <name>Caribbean</name> <name>Coconut</name> <name>Chicken</name>
Best way for steaming simple tofu scramble?,DIR,Best way for <method>steaming</method> <name>simple</name> <name>tofu</name> <name>scramble</name> ?
How much wine is required for barbequed citrus burgers?,QTY,How much <ing>wine</ing> is required for <name>barbequed</name> <name>citrus</name> <name>burgers</name> ?
"How much milk, flour and nectar do I use for Sabayon?",QTY,"How much <ing>milk</ing> , <ing>flour</ing> and <ing>nectar</ing> do I use for <name>Sabayon</name> ?"
Wonton Soup?,ALL,<name>Wonton</name> <name>Soup</name> ?
how much flour should be used to simmer Cooked Mushroom Salad dish?,QTY,how much <ing>flour</ing> should be used to <method>simmer</method> <name>Cooked</name> <name>Mushroom</name> <name>Salad</name> dish ?
Do you know how long it takes Blueberry Peach Muffins to steam?,TIME,Do you know how long it takes <name>Blueberry</name> <name>Peach</name> <name>Muffins</name> to <method>steam</method> ?
Which ingredients help make the perfect quick cranberry butter?,ING,Which ingredients help make the perfect <name>quick</name> <name>cranberry</name> <name>butter</name> ?
What are some good dishes that I can bake with chicken breast??,NAME,What are some good dishes that I can <method>bake</method> with <ing>chicken</ing> <ing>breast</ing> ? ?
How to stew apple-mango madness smoothie?,DIR,How to <method>stew</method> <name>apple-mango</name> <name>madness</name> <name>smoothie</name> ?
What are the basic ingredients in grilling buffalo chicken lasagna?,ING,What are the basic ingredients in <method>grilling</method> <name>buffalo</name> <name>chicken</name> <name>lasagna</name> ?
How do I prepare Cajun Gravy dish?,DIR,How do I prepare <name>Cajun</name> <name>Gravy</name> dish ?
Any good shrimp recipes?,NAME,Any good <type>shrimp</type> recipes ?
Healthy mozzarella cheeses and mushroom recipes for breakfast?,NAME,<type>Healthy</type> <ing>mozzarella</ing> <ing>cheeses</ing> and <ing>mushroom</ing> recipes for <type>breakfast</type> ?
How long do I boil Venison Steak Strips dish?,TIME,How long do I <method>boil</method> <name>Venison</name> <name>Steak</name> <name>Strips</name> dish ?
What are the ingredients for cooking Deluxe Pizza Panini?,ING,What are the ingredients for cooking <name>Deluxe</name> <name>Pizza</name> <name>Panini</name> ?
How do I stew orange bread perfectly?,DIR,How do I <method>stew</method> <name>orange</name> <name>bread</name> perfectly ?
how much sugar should be used in steaming scotcharoos??,QTY,how much <ing>sugar</ing> should be used in <method>steaming</method> <name>scotcharoos</name> ? ?
Any argentinian recipes?,NAME,Any <type>argentinian</type> recipes ?
Do you know how to simmer Sloppy Juan dish?,DIR,Do you know how to <method>simmer</method> <name>Sloppy</name> <name>Juan</name> dish ?
what is in toffee nut cookies?,ING,
Utensils to make butter mochi cupcakes?,EQUIP,Utensils to make <name>butter</name> <name>mochi</name> <name>cupcakes</name> ?
Best potato skillet recipe?,ALL,Best <name>potato</name> <name>skillet</name> recipe ?
how much water should be used in preparing Mushroom Meatloaf??,QTY,how much <ing>water</ing> should be used in preparing <name>Mushroom</name> <name>Meatloaf</name> ? ?
How much water do I use for cincinnati chili dip?,QTY,How much <ing>water</ing> do I use for <name>cincinnati</name> <name>chili</name> <name>dip</name> ?
How long can Mexican Taco Quiche dish be prepared?,TIME,How long can <name>Mexican</name> <name>Taco</name> <name>Quiche</name> dish be prepared ?
Ham recipes using shrimp?,NAME,<type>Ham</type> recipes using <ing>shrimp</ing> ?
How much butter and sugar do I use for Clam Bake?,QTY,How much <ing>butter</ing> and <ing>sugar</ing> do I use for <name>Clam</name> <name>Bake</name> ?
what are the different ways to make mozzarella cheese?,NAME,what are the different ways to make <ing>mozzarella</ing> <ing>cheese</ing> ?
How do I bake spicy roasted edamame dish?,DIR,How do I <method>bake</method> <name>spicy</name> <name>roasted</name> <name>edamame</name> dish ?
how much nectar should be used in boiling Yakitori Marinade??,QTY,how much <ing>nectar</ing> should be used in <method>boiling</method> <name>Yakitori</name> <name>Marinade</name> ? ?
"What can I mix with sugar, butter and nectar to grill Cranberry Curry Chicken dish?",ING,"What can I mix with <ing>sugar</ing> , <ing>butter</ing> and <ing>nectar</ing> to <method>grill</method> <name>Cranberry</name> <name>Curry</name> <name>Chicken</name> dish ?"
what can i do with peanuts and watermelon?,NAME,what can i do with <ing>peanuts</ing> and <ing>watermelon</ing> ?
How long does it take to stew Curry Dip?,TIME,How long does it take to <method>stew</method> <name>Curry</name> <name>Dip</name> ?
Let me know something about Spicy Fry Sauce?,OBJ,Let me know something about <name>Spicy</name> <name>Fry</name> <name>Sauce</name> ?
How to bake Zucchini Bread Oatmeal?,DIR,How to <method>bake</method> <name>Zucchini</name> <name>Bread</name> <name>Oatmeal</name> ?
I need 10 different recipes of italian?,NAME,I need 10 different recipes of <type>italian</type> ?
Easy medium carrot recipes for halloween?,NAME,<type>Easy</type> <ing>medium</ing> <ing>carrot</ing> recipes for <type>halloween</type> ?
How long for fluffy cranberry salad to roast?,TIME,How long for <name>fluffy</name> <name>cranberry</name> <name>salad</name> to <method>roast</method> ?
Recipe for the best grilled chicken adobo?,DIR,Recipe for the best <name>grilled</name> <name>chicken</name> <name>adobo</name> ?
"Any good recipes to bake sugar, olive oil?",NAME,"Any good recipes to <method>bake</method> <ing>sugar</ing> , <ing>olive</ing> <ing>oil</ing> ?"
Do you know how long it takes french stuffing to bake?,TIME,Do you know how long it takes <name>french</name> <name>stuffing</name> to <method>bake</method> ?
Best Cranberry Cheese Bars recipe?,ALL,Best <name>Cranberry</name> <name>Cheese</name> <name>Bars</name> recipe ?
how much water should be used to cook sweet chops dish?,QTY,how much <ing>water</ing> should be used to cook <name>sweet</name> <name>chops</name> dish ?
Sheet Cake recipes?,NAME,<type>Sheet</type> <type>Cake</type> recipes ?
All about Carrot-Bean Sprouts Salad,ALL,All about <name>Carrot-Bean</name> <name>Sprouts</name> <name>Salad</name>
how much salt should be used in stewing Meaty Spaghetti Sauce??,QTY,how much <ing>salt</ing> should be used in <method>stewing</method> <name>Meaty</name> <name>Spaghetti</name> <name>Sauce</name> ? ?
what is in creamy carrot soup?,ING,
frying time of Spinach Cheese Squares?,TIME,<method>frying</method> time of <name>Spinach</name> <name>Cheese</name> <name>Squares</name> ?
How much time for simmering sweet vietnamese coffee?,TIME,How much time for <method>simmering</method> <name>sweet</name> <name>vietnamese</name> <name>coffee</name> ?
What are the ingredients for stewing Steamed Black Bread?,ING,What are the ingredients for <method>stewing</method> <name>Steamed</name> <name>Black</name> <name>Bread</name> ?
Any good recipes for grilling broccoli?,NAME,Any good recipes for <method>grilling</method> <ing>broccoli</ing> ?
Which recipes for frying small zucchini?,NAME,Which recipes for <method>frying</method> <ing>small</ing> <ing>zucchini</ing> ?
What can I use to cook creamy beef stroganoff dish?,ING,What can I use to cook <name>creamy</name> <name>beef</name> <name>stroganoff</name> dish ?
All information of Bagel French Toast dish,ALL,All information of <name>Bagel</name> <name>French</name> <name>Toast</name> dish
Utensils for baking Cherry Cobbler I?,EQUIP,Utensils for <method>baking</method> <name>Cherry</name> <name>Cobbler</name> <name>I</name> ?
"I have some broccolis, what are good recipes to prepare with it?",NAME,"I have some <ing>broccolis</ing> , what are good recipes to prepare with it ?"
Which ingredients help make the perfect Deer Chop Hurry?,ING,Which ingredients help make the perfect <name>Deer</name> <name>Chop</name> <name>Hurry</name> ?
Nutrition info of Traditional Armenian Gomgush?,NUT,Nutrition info of <name>Traditional</name> <name>Armenian</name> <name>Gomgush</name> ?
All about Chocolate Bark,ALL,All about <name>Chocolate</name> <name>Bark</name>
How do I boil dish Beef Curry Soup?,DIR,How do I <method>boil</method> dish <name>Beef</name> <name>Curry</name> <name>Soup</name> ?
What are the necessary utensils to steam the thai chicken satay?,EQUIP,What are the necessary utensils to <method>steam</method> the <name>thai</name> <name>chicken</name> <name>satay</name> ?
All about Homemade Cheese Curds,ALL,
Best Oven-Braised Chicken Stew recipe?,ALL,Best <name>Oven-Braised</name> <name>Chicken</name> <name>Stew</name> recipe ?
What's in italian cream soda?,ING,What 's in <name>italian</name> <name>cream</name> <name>soda</name> ?
"What are some good dishes that I can cook with hot dog, onions and zucchinis??",NAME,"What are some good dishes that I can cook with <ing>hot</ing> <ing>dog</ing> , <ing>onions</ing> and <ing>zucchinis</ing> ? ?"
How long for Perfect White Rice to stew?,TIME,How long for <name>Perfect</name> <name>White</name> <name>Rice</name> to <method>stew</method> ?
What are some ingredients I can use for the Watermelon Mojito Granita?,ING,What are some ingredients I can use for the <name>Watermelon</name> <name>Mojito</name> <name>Granita</name> ?
What are some good dishes that I can prepare with 2 medium carrots and shrimp??,NAME,What are some good dishes that I can prepare with 2 <ing>medium</ing> <ing>carrots</ing> and <ing>shrimp</ing> ? ?
List of Equip. Needed for simmering the dish toss-together broccoli salad?,EQUIP,List of Equip . Needed for <method>simmering</method> the dish <name>toss-together</name> <name>broccoli</name> <name>salad</name> ?
ingredients for Bacon-y Bok Choy dish?,ING,ingredients for <name>Bacon-y</name> <name>Bok</name> <name>Choy</name> dish ?
How much time should rice pancakes be cooked?,TIME,How much time should <name>rice</name> <name>pancakes</name> be cooked ?
Nutrition info of creamy onion soup?,NUT,Nutrition info of <name>creamy</name> <name>onion</name> <name>soup</name> ?
How many tablespoons of sugar for boiling easy raspberry salad?,QTY,How many tablespoons of <ing>sugar</ing> for <method>boiling</method> <name>easy</name> <name>raspberry</name> <name>salad</name> ?
Guide me to prepare butternut pork chop dish.,DIR,Guide me to prepare <name>butternut</name> <name>pork</name> <name>chop</name> dish .
Nutrition info of Morning Matcha Smoothie?,NUT,Nutrition info of <name>Morning</name> <name>Matcha</name> <name>Smoothie</name> ?
what is in Creamed Hash Browns?,ING,what is in <name>Creamed</name> <name>Hash</name> <name>Browns</name> ?
what is in Sweet Honey Cornbread?,ING,what is in <name>Sweet</name> <name>Honey</name> <name>Cornbread</name> ?
Help me to bake the Yummy Pink Punch,DIR,Help me to <method>bake</method> the <name>Yummy</name> <name>Pink</name> <name>Punch</name>
how is the Nacho Pie steamed?,DIR,how is the <name>Nacho</name> <name>Pie</name> <method>steamed</method> ?
Braised Black Lentils recipe?,ALL,<name>Braised</name> <name>Black</name> <name>Lentils</name> recipe ?
Equipment list essential for simmering the snowflake truffles?,EQUIP,Equipment list essential for <method>simmering</method> the <name>snowflake</name> <name>truffles</name> ?
What is Beef Curry Soup dishmade of?,ING,What is <name>Beef</name> <name>Curry</name> <name>Soup</name> dish made of ?
Some candy recipes?,NAME,Some <type>candy</type> recipes ?
Best creamy caramel flan recipe?,ALL,
Recipe for the best cranberry gravy dish?,DIR,Recipe for the best <name>cranberry</name> <name>gravy</name> dish?
All information of Creme Anglaise Sauce dish,ALL,All information of <name>Creme</name> <name>Anglaise</name> <name>Sauce</name> dish
I want ingredient advice for coconut shrimp ceviche?,ING,I want ingredient advice for <name>coconut</name> <name>shrimp</name> <name>ceviche</name> ?
Which ingredients in Vanilla Syrup Substitute?,ING,Which ingredients in <name>Vanilla</name> <name>Syrup</name> <name>Substitute</name> ?
what is in Taco Stuffed Shells?,ING,
Which ingredients help make the perfect tasso ham?,ING,Which ingredients help make the perfect <name>tasso</name> <name>ham</name> ?
How many mangos to prepare cranberry apple scones dish?,QTY,How many <ing>mangos</ing> to prepare <name>cranberry</name> <name>apple</name> <name>scones</name> dish ?
How much time for steaming South-of-the-Border Stuffed Peppers?,TIME,How much time for <method>steaming</method> <name>South-of-the-Border</name> <name>Stuffed</name> <name>Peppers</name> ?
What are the devices for making texas slaw dish?,EQUIP,What are the devices for making <name>texas</name> <name>slaw</name> dish ?
Let me know something about original champagne cocktail?,OBJ,Let me know something about <name>original</name> <name>champagne</name> <name>cocktail</name> ?
How much wine will I need to prepare Japanese Pan Noodles dish?,QTY,How much <ing>wine</ing> will I need to prepare <name>Japanese</name> <name>Pan</name> <name>Noodles</name> dish ?
How much time should I stew refreshing mango chutney?,TIME,How much time should I <method>stew</method> <name>refreshing</name> <name>mango</name> <name>chutney</name> ?
I want ingredient advice for bison stew dish?,ING,I want ingredient advice for <name>bison</name> <name>stew</name> dish ?
How many cups of sugar need to simmer carrot-apple muffins?,QTY,How many cups of <ing>sugar</ing> need to <method>simmer</method> <name>carrot-apple</name> <name>muffins</name> ?
What can I mix with white rice and cheese to prepare Spicy Fry Sauce dish?,ING,What can I mix with <ing>white</ing> <ing>rice</ing> and <ing>cheese</ing> to prepare <name>Spicy</name> <name>Fry</name> <name>Sauce</name> dish ?
"How many broccoli, zucchinis and medium carrots to bake herb crusted halibut?",QTY,"How many <ing>broccoli</ing> , <ing>zucchinis</ing> and <ing>medium</ing> <ing>carrots</ing> to <method>bake</method> <name>herb</name> <name>crusted</name> <name>halibut</name> ?"
What are the ingredients for simmering kentucky derby pie?,ING,What are the ingredients for <method>simmering</method> <name>kentucky</name> <name>derby</name> <name>pie</name> ?
How long for Curry Dip to cook?,TIME,How long for <name>Curry</name> <name>Dip</name> to cook ?
Let me know something about dish pickled shrimp?,OBJ,Let me know something about dish <name>pickled</name> <name>shrimp</name> ?
How much flour is required for Filipino Pork Adobo?,QTY,How much <ing>flour</ing> is required for <name>Filipino</name> <name>Pork</name> <name>Adobo</name> ?
How long for grilling beef empanadas?,TIME,How long for <method>grilling</method> <name>beef</name> <name>empanadas</name> ?
Breakfast Pizza recipes using broccoli?,NAME,<type>Breakfast</type> <type>Pizza</type> recipes using <ing>broccoli</ing> ?
Do you know the recipe for dish warm artichoke dip?,DIR,Do you know the recipe for dish <name>warm</name> <name>artichoke</name> <name>dip</name> ?
Any good recipes for simmering bell pepper?,NAME,Any good recipes for <method>simmering</method> <ing>bell</ing> <ing>pepper</ing> ?
Pignoli Cookies II?,ALL,
How much sugar do I use for Real Canadian Poutine?,QTY,How much <ing>sugar</ing> do I use for <name>Real</name> <name>Canadian</name> <name>Poutine</name> ?
How long to make stroganoff soup?,TIME,How long to make <name>stroganoff</name> <name>soup</name> ?
What are the main ingredients of the cockaleekie soup?,ING,What are the main ingredients of the <name>cockaleekie</name> <name>soup</name> ?
What are the devices for stewing Navy Bean Pie dish?,EQUIP,What are the devices for <method>stewing</method> <name>Navy</name> <name>Bean</name> <name>Pie</name> dish ?
Any portuguese recipes?,NAME,Any <type>portuguese</type> recipes ?
What can I use to simmer Crawfish Potato Soup?,ING,What can I use to <method>simmer</method> <name>Crawfish</name> <name>Potato</name> <name>Soup</name> ?
Which kitchen devices do you need to cook Creamy Beet Greens dish?,EQUIP,Which kitchen devices do you need to cook <name>Creamy</name> <name>Beet</name> <name>Greens</name> dish ?
Time for cooking Shrimp Fondue,TIME,Time for cooking <name>Shrimp</name> <name>Fondue</name>
The amount of lemon to steam pina colada flan is how much?,QTY,The amount of <ing>lemon</ing> to <method>steam</method> <name>pina</name> <name>colada</name> <name>flan</name> is how much ?
"I have some corns, what are good recipes to boil with it?",NAME,"I have some <ing>corns</ing> , what are good recipes to <method>boil</method> with it ?"
Which ingredients in banana breakfast muffins?,ING,Which ingredients in <name>banana</name> <name>breakfast</name> <name>muffins</name> ?
What is A Healthier Mochaccino made of?,ING,What is A <name>Healthier</name> <name>Mochaccino</name> made of ?
"What are good Snack Chip dishes with turkey, peanuts and yams?",NAME,"What are good <type>Snack</type> <type>Chip</type> dishes with <ing>turkey</ing> , <ing>peanuts</ing> and <ing>yams</ing> ?"
What are the necessary utensils to grill the caramelized onions dish?,EQUIP,What are the necessary utensils to <method>grill</method> the <name>caramelized</name> <name>onions</name> dish ?
How many packs of mustard need to roast dish easy rum cake?,QTY,How many packs of <ing>mustard</ing> need to <method>roast</method> dish <name>easy</name> <name>rum</name> <name>cake</name> ?
what is in Margarita Dressing?,ING,
Some Belgian recipes?,NAME,Some <type>Belgian</type> recipes ?
Best easy cauliflower ceviche recipe?,ALL,Best <name>easy</name> <name>cauliflower</name> <name>ceviche</name> recipe ?
What should I know about dish Pumpkin Tacos?,OBJ,What should I know about dish <name>Pumpkin</name> <name>Tacos</name> ?
how much nectar should be used to bake Chicken Bombs?,QTY,how much <ing>nectar</ing> should be used to <method>bake</method> <name>Chicken</name> <name>Bombs</name> ?
cranberry-orange cookie bars recipe?,ALL,
What can you tell me about Taco Sauce dish?,OBJ,What can you tell me about <name>Taco</name> <name>Sauce</name> dish ?
How much time should stuffed pepper soup be stewed?,TIME,How much time should <name>stuffed</name> <name>pepper</name> <name>soup</name> be <method>stewed</method> ?
Homemade Enchilada Sauce?,ALL,<name>Homemade</name> <name>Enchilada</name> <name>Sauce</name> ?
How long can Acapulco Margarita Grouper be baked?,TIME,How long can <name>Acapulco</name> <name>Margarita</name> <name>Grouper</name> be <method>baked</method> ?
List of Equip. Needed for stewing the Italian Semolina Dumplings?,EQUIP,List of Equip . Needed for <method>stewing</method> the <name>Italian</name> <name>Semolina</name> <name>Dumplings</name> ?
Do you know the recipe for sorghum buddha bowl?,DIR,Do you know the recipe for <name>sorghum</name> <name>buddha</name> <name>bowl</name> ?
What's in spanish-style scrambled eggs?,ING,What 's in <name>spanish-style</name> <name>scrambled</name> <name>eggs</name> ?
How long to roast Gourmet Microwave Popcorn?,TIME,How long to <method>roast</method> <name>Gourmet</name> <name>Microwave</name> <name>Popcorn</name> ?
Some Tapas recipes?,NAME,Some <type>Tapas</type> recipes ?
Any good recipes for making clove?,NAME,Any good recipes for making <ing>clove</ing> ?
Utensils for stewing Avocado Baked Eggs?,EQUIP,Utensils for <method>stewing</method> <name>Avocado</name> <name>Baked</name> <name>Eggs</name> ?
how much powder should be used in frying Babka II??,QTY,how much <ing>powder</ing> should be used in <method>frying</method> <name>Babka</name> <name>II</name> ? ?
"I have clove, how should I fry it?",DIR,"I have <ing>clove</ing> , how should I <method>fry</method> it ?"
Guide me to roast Berry Cordial dish.,DIR,Guide me to <method>roast</method> <name>Berry</name> <name>Cordial</name> dish .
I need 10 different recipes of japanese?,NAME,I need 10 different recipes of <type>japanese</type> ?
How do I simmer barbecue turkey meatballs perfectly?,DIR,How do I <method>simmer</method> <name>barbecue</name> <name>turkey</name> <name>meatballs</name> perfectly ?
What can I mix with milk for frying Apple Walnut Bread?,ING,What can I mix with <ing>milk</ing> for <method>frying</method> <name>Apple</name> <name>Walnut</name> <name>Bread</name> ?
"What can I mix with milk, flour and nectar to simmer easy white chili?",ING,"What can I mix with <ing>milk</ing> , <ing>flour</ing> and <ing>nectar</ing> to <method>simmer</method> <name>easy</name> <name>white</name> <name>chili</name> ?"
What can I mix with butter for roasting mediterranean lentil salad?,ING,What can I mix with <ing>butter</ing> for <method>roasting</method> <name>mediterranean</name> <name>lentil</name> <name>salad</name> ?
soup recipes using zucchini?,NAME,<type>soup</type> recipes using <ing>zucchini</ing> ?
"How should I cook yams, 4 shrimps?",DIR,"How should I cook <ing>yams</ing> , 4 <ing>shrimps</ing> ?"
What are some good dishes that I can simmer with shrimp??,NAME,What are some good dishes that I can <method>simmer</method> with <ing>shrimp</ing> ? ?
What are some good dishes that I can boil with medium carrot??,NAME,What are some good dishes that I can <method>boil</method> with <ing>medium</ing> <ing>carrot</ing> ? ?
Swedish Nuts II?,ALL,
List of Equip. Needed for making the cucumber chicken roll-ups?,EQUIP,List of Equip . Needed for making the <name>cucumber</name> <name>chicken</name> <name>roll-ups</name> ?
What are the ingredients for boiling Mediterranean Seafood Medley?,ING,What are the ingredients for <method>boiling</method> <name>Mediterranean</name> <name>Seafood</name> <name>Medley</name> ?
tasso ham - the best way to prepare it?,DIR,<name>tasso</name> <name>ham</name> - the best way to prepare it ?
What are the main ingredients of the Mediterranean Spaghetti Squash?,ING,What are the main ingredients of the <name>Mediterranean</name> <name>Spaghetti</name> <name>Squash</name> ?
"I have zucchini, how should I make it?",DIR,"I have <ing>zucchini</ing> , how should I make it ?"
Time for stewing honey mustard blend,TIME,Time for <method>stewing</method> <name>honey</name> <name>mustard</name> <name>blend</name>
How to roast Russian Honey Cake?,DIR,How to <method>roast</method> <name>Russian</name> <name>Honey</name> <name>Cake</name> ?
"The amount of lemon, zucchinis and bell peppers to cook Mound Bars is how much?",QTY,"The amount of <ing>lemon</ing> , <ing>zucchinis</ing> and <ing>bell</ing> <ing>peppers</ing> to cook <name>Mound</name> <name>Bars</name> is how much ?"
How long can cinnasweet pumpkin seeds be cooked?,TIME,How long can <name>cinnasweet</name> <name>pumpkin</name> <name>seeds</name> be cooked ?
Easy small zucchini recipes for lunch?,NAME,<type>Easy</type> <ing>small</ing> <ing>zucchini</ing> recipes for <type>lunch</type> ?
Best way for cooking corn?,DIR,Best way for cooking <ing>corn</ing> ?
how much powder for baking Ramen Scrambled Eggs?,QTY,how much <ing>powder</ing> for <method>baking</method> <name>Ramen</name> <name>Scrambled</name> <name>Eggs</name> ?
Do you know how long it takes cajun boudin pizza to grill?,TIME,Do you know how long it takes <name>cajun</name> <name>boudin</name> <name>pizza</name> to <method>grill</method> ?
What the heck is Jamaican Turkey Sandwich?,OBJ,What the heck is <name>Jamaican</name> <name>Turkey</name> <name>Sandwich</name> ?
Which utensils is required for iced-teani dish?,EQUIP,Which utensils is required for <name>iced-teani</name> dish ?
How many cups of butter need to grill party lemonade dish?,QTY,How many cups of <ing>butter</ing> need to <method>grill</method> <name>party</name> <name>lemonade</name> dish ?
preparing time of Oregano-Flavored Feta dish?,TIME,preparing time of <name>Oregano-Flavored</name> <name>Feta</name> dish ?
How much cheese do I use for cedar planked spuds?,QTY,How much <ing>cheese</ing> do I use for <name>cedar</name> <name>planked</name> <name>spuds</name> ?
what is pizza fondue dish?,OBJ,
I have two cloves and 1 shrimp. Can you suggest what recipe I use to use them all?,NAME,I have two <ing>cloves</ing> and 1 <ing>shrimp</ing> . Can you suggest what recipe I use to use them all ?
How much time to stew Thai Coconut Chicken?,TIME,How much time to <method>stew</method> <name>Thai</name> <name>Coconut</name> <name>Chicken</name> ?
Equipment list essential for steaming the mushroom crespelle?,EQUIP,Equipment list essential for <method>steaming</method> the <name>mushroom</name> <name>crespelle</name> ?
How much time to boil Easy Persimmon Jam dish?,TIME,How much time to <method>boil</method> <name>Easy</name> <name>Persimmon</name> <name>Jam</name> dish ?
Do you know good argentinian recipes to roast?,NAME,Do you know good <type>argentinian</type> recipes to <method>roast</method> ?
All information of Chocolate Buttermilk Bread dish,ALL,
How many packs of powder need to cook indonesian fried rice?,QTY,How many packs of <ing>powder</ing> need to cook <name>indonesian</name> <name>fried</name> <name>rice</name> ?
How much white rice do I use for Morning Matcha Smoothie dish?,QTY,How much <ing>white</ing> <ing>rice</ing> do I use for <name>Morning</name> <name>Matcha</name> <name>Smoothie</name> dish ?
What is the best way for baking lemon?,DIR,What is the best way for <method>baking</method> <ing>lemon</ing> ?
How to fry Sicilian Pizza Sauce and Russian Honey Cake dishes?,DIR,How to <method>fry</method> <name>Sicilian</name> <name>Pizza</name> <name>Sauce</name> and <name>Russian</name> <name>Honey</name> <name>Cake</name> dishes ?
What are the nutrients present in antioxidant trail mix?,NUT,What are the nutrients present in <name>antioxidant</name> <name>trail</name> <name>mix</name> ?
what kinds of Ham dishes can I steam with egg?,NAME,what kinds of <type>Ham</type> dishes can I <method>steam</method> with <ing>egg</ing> ?
How many cups of mustard need to cook Shrimp Pad Thai?,QTY,How many cups of <ing>mustard</ing> need to cook <name>Shrimp</name> <name>Pad</name> <name>Thai</name> ?
what is Sausage Stuffing dish?,OBJ,
Best way for roasting Puerto Rican Sofrito?,DIR,Best way for <method>roasting</method> <name>Puerto</name> <name>Rican</name> <name>Sofrito</name> ?
All information of Chicken Alfredo Casserole dish,ALL,
Best coffee jelly recipe?,ALL,Best <name>coffee</name> <name>jelly</name> recipe ?
How should I fry mango?,DIR,How should I <method>fry</method> <ing>mango</ing> ?
what cooking utensils are used in the easy pecan bars?,EQUIP,what cooking utensils are used in the <name>easy</name> <name>pecan</name> <name>bars</name> ?
How many cups of salt for preparing jackfruit crawls?,QTY,How many cups of <ing>salt</ing> for preparing <name>jackfruit</name> <name>crawls</name> ?
How should I grill cloves and shrimp?,DIR,How should I <method>grill</method> <ing>cloves</ing> and <ing>shrimp</ing> ?
What are the required utensils for making Breakfast Tortilla?,EQUIP,What are the required utensils for making <name>Breakfast</name> <name>Tortilla</name> ?
What could I use on million-dollar spaghetti?,ING,What could I use on <name>million-dollar</name> <name>spaghetti</name> ?
apple salad recipes?,NAME,<type>apple</type> <type>salad</type> recipes ?
I want ingredient advice for Tortellini Salad Italiana?,ING,I want ingredient advice for <name>Tortellini</name> <name>Salad</name> <name>Italiana</name> ?
Cocktail Meatballs IV recipe?,ALL,<name>Cocktail</name> <name>Meatballs</name> <name>IV</name> recipe ?
What’s the best way to bake green harissa?,DIR,What ’ s the best way to <method>bake</method> <name>green</name> <name>harissa</name> ?
Fondant recipes using peanut?,NAME,<type>Fondant</type> recipes using <ing>peanut</ing> ?
Do you know good shrimp recipes to fry?,NAME,Do you know good <type>shrimp</type> recipes to <method>fry</method> ?
Which ingredients in kentucky derby pie?,ING,Which ingredients in <name>kentucky</name> <name>derby</name> <name>pie</name> ?
Spinach Kugel - the best way to cook it?,DIR,<name>Spinach</name> <name>Kugel</name> - the best way to cook it ?
What are the main ingredients of the tuna salad?,ING,What are the main ingredients of the <name>tuna</name> <name>salad</name> ?
What can I use to grill Prime Rib?,ING,What can I use to <method>grill</method> <name>Prime</name> <name>Rib</name> ?
I want ingredient advice for broccoli cornbread dish?,ING,I want ingredient advice for <name>broccoli</name> <name>cornbread</name> dish ?
Best the breakfast omwich recipe?,ALL,Best the <name>breakfast</name> <name>omwich</name> recipe ?
Which ingredients in Beer-Braised Chicken Tacos?,ING,Which ingredients in <name>Beer-Braised</name> <name>Chicken</name> <name>Tacos</name> ?
Quantity of watermelons and leek to make doodhi chana?,QTY,Quantity of <ing>watermelons</ing> and <ing>leek</ing> to make <name>doodhi</name> <name>chana</name> ?
Let me know something about Naan-like Easy Flatbread dish?,OBJ,Let me know something about <name>Naan-like</name> <name>Easy</name> <name>Flatbread</name> dish ?
How long to simmer Basic Daiquiri?,TIME,How long to <method>simmer</method> <name>Basic</name> <name>Daiquiri</name> ?
How long for dish Jezebel Sauce to fry?,TIME,How long for dish <name>Jezebel</name> <name>Sauce</name> to <method>fry</method> ?
Can you give me a recipe for blue angel dish with egg?,DIR,Can you give me a recipe for <name>blue</name> <name>angel</name> dish with <ing>egg</ing> ?
All information of apple nut muffins dish,ALL,
Help me to make the Carrot-Bean Sprouts Salad,DIR,Help me to make the <name>Carrot-Bean</name> <name>Sprouts</name> <name>Salad</name>
chocolate syrup recipe?,ALL,<name>chocolate</name> <name>syrup</name> recipe ?
Do you know the recipe for Jamaican Turkey Sandwich dish?,DIR,Do you know the recipe for <name>Jamaican</name> <name>Turkey</name> <name>Sandwich</name> dish ?
How much time for roasting Fireside Coffee?,TIME,How much time for <method>roasting</method> <name>Fireside</name> <name>Coffee</name> ?
ingredients for herb crusted halibut?,ING,ingredients for <name>herb</name> <name>crusted</name> <name>halibut</name> ?
